english,bodo,mizo,category
measure the angle,खोनानायखौ नाफा,Angle hi teh rawh,Mathematics
today we learn fractions,दिनै बे भिन्नखौ होनना,Tunah fraction kan zir ang,Mathematics
count to one hundred,सै सिम जानो गासै,Za thleng chhiar rawh,Mathematics
add these numbers,बे नम्बरफोरखौ जोड़ थ,Heng number-te hi dawng rawh,Mathematics
show your working,नायनि गोबखौ देखायगोन,I thawhhona kha tilang rawh,Mathematics
check your answer,नायनि फोरायखौ सायगोन,I chhan kha enfin rawh,Mathematics
this is incorrect,बेयो गोजौ नङा,Hei hi dik lo,Mathematics
very good calculation,बेयै गोजौ सानाय,Chhut dan a tha hle,Mathematics
write the formula,फर्मुला लिरगोन,Formula ziak rawh,Mathematics
simplify the expression,एक्स्प्रेसनखौ सरल थ,Expression hi awlsam zawka siam rawh,Mathematics
today we study plants,दिनै बे गासैफोरखौ होनना,Tunah thing kan zir ang,Science
observe the experiment,एक्सपेरिमेन्ट नायदोन,Experiment kha en rawh,Science
mix these chemicals carefully,बे केमिकालफोरखौ मोनो सान सामलाय,Heng chemicals-te hi ngaihtuah takin pawl rawh,Science
wear safety goggles,सेफ्टि गोगल लागायगोन,Safety goggles vuah rawh,Science
record your observations,नायनि नायदोनायखौ रिकर्ड थ,I hmu tawnna ziak la rawh,Science
the water is boiling,दै बोराय दङ,Tui chu a luang mek,Science
label the diagram,डायाग्राम लेबल थ,Diagram kha label rawh,Science
the planet revolves around the sun,ग्रहा रबिनि खालामाव गिरिफुं दङ,Planet chu ni vel ah a vel,Science
this is a chemical reaction,बेयो केमिकल रियाक्सन,Hei hi chemical reaction a ni,Science
gravity pulls objects down,गुरुत्व बाथ्राफोरखौ गोजौथिनो थानाय दङ,Gravity hian thil chu a kawm hniam,Science
plants need sunlight,गासैफोरनो रबिनि सालाय गोनां,Thing-te hian ni êng an mamawh,Science
draw the life cycle,लाइफ साइकल गोरसिन,Nunphung kha draw rawh,Science
identify the minerals,खानिजफोरखौ सायगोन,Mineral-te chu hriatchhuah rawh,Science
temperature is rising,तापमान फुंगोनाय दङ,Lumna a sang mek,Science
measure the volume,भोल्युम नाफा,Volume teh rawh,Science
test your prediction,नायनि आगाथाव नायनायखौ टेस्ट थ,I ngaihtuahna test rawh,Science
discuss your findings,नायनि मुनायखौ आलोसना थ,I hmuh tawnna sawihona rawh,Science
study the map carefully,नक्साखौ मोनो होनगोन,Map kha ngaithla takin zir rawh,Social Science
name the seven continents,श्नि महादेशखौ मुं,Continent sarih hmingtha rawh,Social Science
discuss the historical event,एथाव गोनां होयायखौ आलोसना थ,Historical thil thleng sawihona rawh,Social Science
draw the national flag,राष्ट्रिय फ्लाग गोरसिन,Ramri tuta kha draw rawh,Social Science
locate the river on the map,नक्साथाव लुइखौ मुं,Map-ah lui kha hmuh rawh,Social Science
learn about our culture,जाथिनि बिसोमाव होनगोन,Kan nunphung zir rawh,Social Science
this is our national anthem,बेयो जाथिनि गान,Hei hi kan ram hla a ni,Social Science
the constitution is important,बिधान गोनांलै,Constitution hi a pawimawh hle,Social Science
study the timeline,टाइमलाइन होनगोन,Timeline kha zir rawh,Social Science
our national bird is peacock,जाथिनि दावनाय मोर,Kan ramri sava chu peacock a ni,Social Science
explain the revolution,रिभोल्युसनखौ बुंगोन,Revolution kha sawifiah rawh,Social Science
name the neighboring countries,खौरां रायजोथिफोरखौ मुं,Ram bulhmang hmingtha rawh,Social Science
learn the state capitals,राज्यफोरनि राजधानिफोर होनगोन,Hmun hrang hrang khawpui zir rawh,Social Science
i don't understand,आं गोजौबाय,Ka hrethiam lo,Student Question
i forgot my book,आं आंनि किताब मोजानबाय,Ka lehkhabu ka theihnai,Student Question
i finished the work,आं गोबखौ सोमोन्दोखौबाय,Ka hna ka zo tawh,Student Question
excellent work!,गोजौ लाफा!,Ṭha tak tak!,Feedback
well done!,बेयै गोजौ!,I ṭha hle!,Feedback
very good!,बेयै गोजौ!,A tha hle!,Feedback
keep it up!,बेसेन होयो!,I chhunzawm zel ang che!,Feedback
you can do better,नं बेयावनाय गोनां हानो,I tha zawk thei ang,Feedback
try harder,बेसेन नायदोन,Bei nasa zawk rawh,Feedback
good effort,गोजौ नायदोनाय,I bei dan a tha,Feedback
needs improvement,सुधार गोनां,Tihchangtlun a ngai,Feedback
almost correct,गोजौ लासिम,A dik tawp mai,Feedback
pay more attention,बेसेन गोहोम सोद,Ngaihven nasa zawk rawh,Feedback
outstanding!,बेयै बेयै गोजौ!,A hlawhtling hle!,Feedback
perfect answer!,परफेक्ट फोराय!,Chhan tha tak!,Feedback
you're improving,नं सुधार होयाय दङ,I thang chho mek,Feedback
great job!,गोजौ लाफा गोब!,Hna tha tak!,Feedback
keep practicing,नायदोनाय राखाथि थ,Practice chhunzawm zel rawh,Feedback
think carefully,मोनो बिसारगोन,Ngaihtuah tha takin,Feedback
check your work again,दावगासे नायनि गोबखौ सायगोन,I hna enfin leh rawh,Feedback
this is wrong,बेयो गोरलाव,Hei hi a dik lo,Feedback
you're on the right track,नं गोजौ लामथाव दङ,Kawng dik i zawh mek,Feedback
much better than before,आगानायनो बेसेन गोजौ,Hma aia tha zawk,Feedback
good morning class,सुबुं बिहान,Zing tlâm ṭha class,Daily Interaction
good afternoon,सुबुं बेलासे,Tlêm tlâm ṭha,Daily Interaction
stand up please,दिंना गोन,Ding rawh le,Daily Interaction
thank you,मोजां,Ka lawm e,Daily Interaction
you're welcome,राखाइ,Kan lo lawm e,Daily Interaction
excuse me,आं माफ थ,Min senkawp rawh,Daily Interaction
i'm sorry,आं दुःख लायबाय,Ka ngaidam rawh,Daily Interaction
see you tomorrow,गाबै नायना हागोन,Tukleha kan inhmu leh ang,Daily Interaction
have a nice day,गोजौ सान हागोन,Ni tha tak nei rawh,Daily Interaction
be careful,सानफार राखा,Ngaihtuah takin,Daily Interaction
help your friend,नायनि गिबिरखौ मदद थ,I thian pui rawh,Daily Interaction
share with others,गुबुनसोनो हारि थ,Midang nen sem rawh,Daily Interaction
wait for your turn,नायनि बेलानो राखा,I hun nghak rawh,Daily Interaction
line up please,लाइन थ गोन,Line-ah ding rawh,Daily Interaction
come here,बिनिथाव लाबो,Hetah lo rawh,Daily Interaction
go there,अन्थाय होयो,Khatiang ah kal rawh,Daily Interaction
please hurry up,अननानै जल्दि थ,Chak rawh le,Daily Interaction
take your time,बेला लानो गोन,Inngaithlak rawh,Daily Interaction
the exam starts now,परिखा दानो सुबुं होना,Exam hi tunah a tan ta,Exam Instruction
you have one hour,नायथि सै घण्टा आरो,Darkar khat i nei,Exam Instruction
read all questions first,गासै हाबाफोर गिबिबो फोरनो पाठ थ,Zawhna zawng hmalawk chhiar rawh,Exam Instruction
no talking during exam,परिखा बेलाथाव फोथाय खौरांदों,Exam hun lai hian thu sawi suh,Exam Instruction
answer all questions,गासै हाबाफोरनि फोराय फोरायदों,Zawhna zawng chhan rawh,Exam Instruction
write clearly,गोजौबार लिरगोन,Chiang takin ziak rawh,Exam Instruction
check your answers,नायनि फोरायफोरखौ सायगोन,I chhan-te enfin rawh,Exam Instruction
five minutes remaining,बा मिनुट बाथायबाय,Minute panga a la awm,Exam Instruction
time is up,बेला खालासो होनो,Hun a tawp ta,Exam Instruction
put down your pens,नायनि कलमफोरखौ गोजौथिनो दों,I pen-te dah tawh rawh,Exam Instruction
submit your papers,नायनि कागजखौ फोरायदों,I lehkhabu thawn rawh,Exam Instruction
no cheating allowed,सोम्फायनाय आबानाय,Cheat theih a ni lo,Exam Instruction
keep your eyes on your paper,नायनि कागज आव मिखा राखा,I lehkhabu chu en zel rawh,Exam Instruction
one question at a time,सै आव सै हाबा,Zawhna pakhat chauh hmain,Exam Instruction
skip if you don't know,बाखाय मानो खान्दो गासै होयो,I hre lo chuan skip rawh,Exam Instruction
use pencil for diagrams,डायाग्राम आव पेन्सिल बाहाय,Diagram-ah pencil hman rawh,Exam Instruction
write your roll number,नायनि रोल नम्बर लिरगोन,I roll number ziak rawh,Exam Instruction
don't forget your name,नायनि मुंखौ मोजानबा,I hming theihna rawh suh,Exam Instruction
follow the instructions,सोद फोरनि गिबिबो होयो,Instruction zawm rawh,Exam Instruction
good luck everyone,गासैबो गोजौ लाबो,Hlawhtlin rawh u,Exam Instruction
one,सै,Khat,Numbers
two,नै,Pahnih,Numbers
three,थाम,Pathum,Numbers
four,ब्राय,Pali,Numbers
five,बा,Panga,Numbers
six,रो,Ruk,Numbers
seven,श्नि,Sarih,Numbers
eight,जात,Riat,Numbers
nine,स्कौ,Kua,Numbers
ten,दस,Sawm,Numbers
twenty,कुइ,Sawm pahnih,Numbers
thirty,तिनकुइ,Sawm thum,Numbers
forty,ब्राइकुइ,Sawm pali,Numbers
fifty,बायकुइ,Sawm panga,Numbers
hundred,सै,Za,Numbers
red,लुबा,Sen,Colors
blue,गुनाउ,Dum hring,Colors
green,गिसिन,Hring,Colors
white,फुथार,Var,Colors
black,खुंगा,Dum,Colors
orange,नारेङ्गि रोङ,Orange,Colors
pink,गुलाफि,Pink,Colors
brown,दाम रोङ,Vawk,Colors
purple,बेगुनि,Sen dum,Colors
head,खोम,Lu,Body Parts
eye,मिखा,Mit,Body Parts
ear,गुफुर,Bengkung,Body Parts
nose,गुखुं,Hmui,Body Parts
mouth,खा,Ka,Body Parts
hand,खुन्था,Kut,Body Parts
leg,था,Ke,Body Parts
finger,खुन्सिम,Kut zungtang,Body Parts
foot,थागोन,Keng,Body Parts
hair,खुरां,Sam,Body Parts
teeth,था,Ha,Body Parts
tongue,जिब्ला,Thlai,Body Parts
face,गुदुम,Mai,Body Parts
neck,खोनोर,Ngawng,Body Parts
shoulder,खौथि,Lengbang,Body Parts
dog,सुई,Ui,Animals
cat,मेसा,Ngeru,Animals
cow,मोसो,Bawng,Animals
goat,मेमा,Kelchhia,Animals
bird,दावनाय,Sava,Animals
fish,दान,Sangha,Animals
tiger,बाघ,Keikal,Animals
elephant,होथाइ,Sai,Animals
horse,दोर,Sakawr,Animals
lion,सिङ,Sakhei,Animals
monkey,बोथोर,Vak,Animals
rabbit,रागा,Sapui,Animals
snake,दाउ,Rul,Animals
chicken,दाउ,Ar,Animals
buffalo,मइना,Sial,Animals
rice,माय,Buh,Food
water,दै,Tui,Food
milk,दुद,Tui tul,Food
bread,फाउ,Puawn,Food
meat,सा,Sa,Food
vegetable,गासै,Thing hring,Food
fruit,बिजाब,Thei,Food
salt,सान,Chi,Food
sugar,गुदा,Chhe,Food
tea,सा,Ti,Food
egg,खुदाम,Arhte,Food
oil,थेल,Thau,Food
butter,मागुं,Sak puan,Food
honey,खौदां,Khuai,Food
father,बाबै,Pa,Family
mother,माउ,Nu,Family
brother,बिसाराब,Naupa,Family
sister,बिनाइ,Thlai,Family
son,अब,Fapa,Family
daughter,बिसि,Fate,Family
grandfather,आबु,Tetu,Family
grandmother,आबाइ,Pui,Family
uncle,गाजाब,Nau pa,Family
aunt,गाजुं,Nau nu,Family
husband,रोखा,Pa,Family
wife,माय,Nu,Family
child,गाब्रा,Naupang,Family
baby,लुबु,Naupang te,Family
friend,गिबिर,Thian,Family
sun,रबि,Ni,Nature
moon,दा,Thla,Nature
star,काथि,Arsi,Nature
sky,मुखां,Van,Nature
cloud,गुमाम,Chhum,Nature
rain,खौरां,Ruah,Nature
wind,गुर,Thlî,Nature
river,लुइ,Lui,Nature
mountain,दान,Tlang,Nature
tree,सिम,Thing,Nature
flower,बारा,Par,Nature
leaf,गुफान,Hnah,Nature
forest,दावखौ,Ram,Nature
stone,खुन्दा,Lung,Nature
earth,हाथार,Leilung,Nature
book,किताब,Lehkhabu,School
pen,कलम,Pen,School
pencil,खुरांथिनाय,Pencil,School
paper,काखव,Phek,School
bag,थावफा,Khaw,School
desk,तेबुल,Tawltlang,School
chair,फुंसा,Tumbawh,School
board,बोर्ड,Board,School
chalk,सुफुर,Chalk,School
eraser,मेसनाय,Eraser,School
ruler,खुनदै,Scale,School
notebook,फोरमा,Lehkhabu,School
teacher,उखार,Zirtirtu,School
student,खिहोर,Zirlaite,School
classroom,कखा,Classroom,School
go,होयो,Kal,Verbs
come,लाबो,Lo,Verbs
sit,फुं,Thu,Verbs
stand,दिंना,Ding,Verbs
read,पाठ,Chhiar,Verbs
write,लिर,Ziak,Verbs
listen,नुं,Ngai,Verbs
speak,फोथाय,Thusawi,Verbs
eat,जा,Ei,Verbs
drink,नुं,In,Verbs
sleep,गुं,Mut,Verbs
wake,सोरगोन,Tho,Verbs
walk,जाबाय,Kal,Verbs
run,रेबगोन,Tlan,Verbs
jump,फार,Zuang,Verbs
see,नायदोन,Hmu,Verbs
hear,नुं,Hre,Verbs
touch,साम,Hnem,Verbs
smell,मुंनो,Humhim,Verbs
taste,जाननो,Chin,Verbs
big,गेदेम,Lian,Adjectives
small,गिदिर,Te,Adjectives
good,गोजौ,Tha,Adjectives
bad,गोरलाव,Tha lo,Adjectives
hot,गोलाव,Lum,Adjectives
cold,गान,Vawt,Adjectives
fast,फोरां,Chak,Adjectives
slow,लायो,Zawi,Adjectives
heavy,लाफा,Rit,Adjectives
light,हाथि,Awlsam,Adjectives
long,जौगा,Sei,Adjectives
short,थायो,Tawi,Adjectives
high,मुंथाइ,Sang,Adjectives
low,नामथाइ,Hniam,Adjectives
happy,गोनां,Hlim,Adjectives
sad,दुःख,Ngai dam,Adjectives
strong,गुसुम,Chakawm,Adjectives
weak,बोसोर,Tawtchhuah,Adjectives
clean,सुगु,Thianghlim,Adjectives
dirty,मायरा,Bo,Adjectives
today,दिनै,Tun ni,Time
tomorrow,गाबै,Tukleha,Time
yesterday,माबै,Zanin,Time
morning,बिहान,Zing,Time
afternoon,बेलासे,Tlêm,Time
evening,बाइग्रा,Zan tlêm,Time
night,राति,Zan,Time
day,सान,Ni,Time
week,सप्ताह,Kar,Time
month,दान,Thla,Time
year,बोसोर,Kum,Time
monday,गोदाल,Inrinni,Time
tuesday,मंगलवार,Thlawhpuini,Time
wednesday,बुधवार,Pathhumni,Time
thursday,बिहिवार,Pualthanni,Time
friday,सुकुरवार,Sukridanni,Time
saturday,सनिवार,Inrinni,Time
sunday,रबिवार,Pathian ni,Time
hour,घण्टा,Darkar,Time
minute,मिनुट,Minute,Time
house,नो,In,Objects
door,सुलुं,Kawng,Objects
window,गुदुम जिरनाय,Thlawhna,Objects
roof,खौगाव,Inchung,Objects
floor,गोजौथि,Inkar,Objects
wall,गुदुं,Tlang,Objects
road,लाम,Kawng,Objects
car,मोटर,Motor,Objects
bicycle,साइकिल,Baisakul,Objects
boat,गान्दो,Lawng,Objects
clothes,दोरोन,Thawhtute,Objects
shoe,खोम्फा,Kengkawng,Objects
hat,खुरुम,Lukawng,Objects
watch,बेला नायनाय,Darkar,Objects
money,थांगो,Sum,Objects
key,खुनसुर,Key,Objects
knife,हारि,Hrai,Objects
spoon,जानाय,Theikhia,Objects
plate,थारि,Bel,Objects
cup,थारि,Khawm,Objects
in,आव,Chungah,Prepositions
on,आव,Chunga,Prepositions
under,गोजौथिनो,Nuai,Prepositions
above,मुंथाय,A chung,Prepositions
before,आगाथाव,Hmain,Prepositions
after,उनाव,Hnua,Prepositions
with,लानो,Nen,Prepositions
without,बानाय,Telin,Prepositions
and,आरो,Leh,Conjunctions
or,बा,Emaw,Conjunctions
but,दिनाय,Mahse,Conjunctions
because,थांखो,Chuvang,Conjunctions
where,गान,Khawi,Questions
when,मावनो,Engtin,Questions
who,सोर,Tu,Questions
why,माबाव,Engvangin,Questions
how,जोबोन,Engtin,Questions
which,मो,Eng nge,Questions
whose,सोरनि,Tu ta,Questions
hi,सुबुं,Chibai,Daily Interaction
hello,हनाय,Khawngai,Basic Common Words
yes,हां,Awm e,Basic Common Words
no,नang,Aih lo,Basic Common Words
sorry,गोजों,Ka lawm lo,Basic Common Words
please,अननाय,Fiah rawh,Basic Common Words
wait,थार,Ngai rawh,Basic Common Words
stop,थांहा,Tit rawh,Basic Common Words
start,होननाय,Tan la,Basic Common Words
open,खेव,Hawng rawh,Basic Common Words
close,बोन,Khum rawh,Basic Common Words
look,फाइडों,En rawh,Basic Common Words
understand,गोजौ खायला,Hrethiam,Basic Common Words
help,मद,Tihdam rawh,Basic Common Words
homework,होमवर्क,Hriselna thawn,Classroom Words
class,सिँ,Inzirlai,Classroom Words
question,फोथाय,Zawhna,Classroom Words
answer,उत्तोर,Chhan,Classroom Words
lesson,होननाय,Thupui,Classroom Words
exam,पोरिखा,Inkhawm thleng,Classroom Words
result,फाइना,Thil tihlan,Classroom Words
marks,नुम,Mark-ah,Classroom Words
page,फोथाय,Dul,Classroom Words
paragraph,अनसै,Chhiarphung,Classroom Words
sentence,फारदों,Sawipui,Classroom Words
word,गोबाय,Thilpek,Classroom Words
write fast,फोर लिर,Ziak ṭha suh,Classroom Words
read loudly,फार जोर,Chhiar sak rawh,Classroom Words
slowly,फेरसों,Tui hle,Classroom Words
quickly,थांदों,Tui zet,Classroom Words
correct,गोजौ,A dik,Classroom Words
wrong,मोनो,A dik lo,Classroom Words
sit properly,बखा दां,Inn ṭha rawh,Classroom Words
pay attention,सोङ फराय,Thinlung dah rawh,Classroom Words
wake up,सोलोन,Tan,Daily Use Verbs
bring,आनाय,Tih lo kal rawh,Daily Use Verbs
give,दों,Pe rawh,Daily Use Verbs
take,खाय,Lo la,Daily Use Verbs
show,खायदों,A en rawh,Daily Use Verbs
call,फारदों,Ko rawh,Daily Use Verbs
wash,होन,Hlauh,Daily Use Verbs
wait here,बैथार,Heah ngai rawh,Daily Use Verbs
come fast,फारदों थांदों,Lo kal ṭha rawh,Daily Use Verbs
don't move,थांहा बिहाय,Khawr rawh,Daily Use Verbs
don't talk,फारहा बिहाय,Sawi suh,Daily Use Verbs
don't run,दोंदा बिहाय,Chawlh suh,Daily Use Verbs
start reading,फराय होननाय,Chhiar tan rawh,Daily Use Verbs
start writing,लिर होननाय,Ziaka tan rawh,Daily Use Verbs
look here,बैसोङ,Heah en rawh,Daily Use Verbs
listen here,बैलिसन,Heah ngai rawh,Daily Use Verbs
stand properly,थाना दां,In chhung chhuah ṭha rawh,Daily Use Verbs
keep quiet,बोन,Nung chang,Daily Use Verbs
take care,गोजौ थान,Tihdam rawh,Daily Use Verbs
focus,फारदों सोङ,Thinlung dah,Daily Use Verbs
follow me,आनाय फराय,Ka hnuaiah kal rawh,Daily Use Verbs
angry,मोनोनै,Thinlung thiang,Feelings
tired,मोनोहो,Ngar,Feelings
hungry,खाबाय नङा,Ei duh,Feelings
thirsty,नाइ मिन,Tih duh,Feelings
easy,सालां,Fiam,Common Adjectives
difficult,नाङथाइ,Huna,Common Adjectives
right,गोजौ,Dik,Common Adjectives
enough,गोजैनाइ,A tawk e,Common Adjectives
more,दांदाया,Zawng,Common Adjectives
less,थाइ,Hlem,Common Adjectives
again,फाŋसिबाय,Tung zelin,Time Words
now,दानै,Nisa,Time Words
every day,दिन बाय,Ni zawng zawng,Time Words
which exam today,दिन्नै मो परिखा,Niin eng exam nge,Questions
is,आरो,A ni,Common Words
are,आरो,An ni,Common Words
am,आं,Ka ni,Common Words
was,होनो,A ni ta,Common Words
were,होनो,An ni ta,Common Words
you,नं,Nang,Common Words
i,आं,Kei,Common Words
we,बे,Kan,Common Words
they,बिफां,Anni,Common Words
he,बि,Ama,Common Words
she,बि,Ani,Common Words
it,बे,Chu,Common Words
this,बे,Hei,Common Words
that,बा,Chu,Common Words
these,बेफोर,Heng-te,Common Words
those,बाफोर,Chung-te,Common Words
the,बे,Chu,Common Words
a,सै,Pakhat,Common Words
an,सै,Pakhat,Common Words
from,नायनो,Atanga,Common Words
to,आव,Ah,Common Words
at,आव,Ah,Common Words
by,जों,Hmangin,Common Words
for,थाखाय,Tan,Common Words
of,नि,Ta,Common Words
will,गोनां,Ang,Common Words
can,खांनो,Thei,Common Words
could,खांनो होयो,Thei ang,Common Words
should,गोनांथि,Tur,Common Words
would,गोनांथि,Ang,Common Words
may,खांनो,Thei,Common Words
must,गोनांथि,Ngei tur,Common Words
have,आरो,Nei,Common Words
has,आरो,A nei,Common Words
had,होनो आरो,A nei ta,Common Words
do,थां,Tih,Common Words
does,थां,A tih,Common Words
did,होनो थां,A tih ta,Common Words
not,नाङा,Lo,Common Words
my,आंनि,Ka,Common Words
your,नंनि,I,Common Words
his,बिनि,A,Common Words
her,बिनि,A,Common Words
its,बेनि,A,Common Words
our,बेनि,Kan,Common Words
their,बिफांनि,An,Common Words
why are you sad,नं माबाव मोनो नं,Engvangin i sum,Feelings
i am happy,आं रांखान्थि आं,Ka hlim,Feelings
you are good,नं गोजौ नं,I tha,Common Phrases
he is teacher,बि जारि,Ama zirtir a ni,Common Phrases
she is student,बि सिखारि,Ani zirlai a ni,Common Phrases
we are learning,बे होनना दङ,Kan zir mek,Common Phrases
they are writing,बिफां लिर दङ,Anni ziak mek,Common Phrases
this is my book,बे आंनि बुक आरो,Hei hi ka lehkhabu a ni,Common Phrases
that is your pen,बा नंनि कलम आरो,Chu chu i dap a ni,Common Phrases
what is your name,नंनि मिं मा,I hming chu eng nge,Questions
how are you,नं जोबोन नं,I dam em,Greetings
i am fine,आं गोजौ,Ka dam,Greetings
where is the teacher,जारि गान,Zirtir khawi ah nge,Questions
when is the class,सिँ मावनो,Class engtikah nge,Questions
why are you late,नं माबाव लेट,Engvangin i tling,Questions
how old are you,नं बोसोर जोबोन,I kum engzat nge,Questions
what time is it,मा बेला आरो,Engtikah nge,Questions
can you help me,नं खांनो आङा मद,Min pui thei ang em,Questions
i need a pen,आंथि सै कलम गोनांथि,Dap pakhat ka mamawh,Common Phrases
please give me water,अननानै आङा दै दों,Tui min pe rawh,Common Phrases
may i come in,आं खांनो फार,Ka luh thei em,Common Phrases
may i go out,आं खांनो लानो,Ka chhuak thei em,Common Phrases
can you repeat,नं खांनो बार हुनाय,Nawn lehah sawi thei ang em,Common Phrases
i am sorry,आं गोजों,Ka ngaidam rawh,Common Phrases
thank you very much,बेयै गोजौ मोजां,Ka lawm e hle,Common Phrases
you are welcome,नं स्वागत आरो,I lawmawm e,Common Phrases
good night,गोजौ राति,Zan rem,Greetings
what are you doing,नं मा थां दङ,Eng i tih mek,Questions
where are you going,नं गान थां दङ,Khawi ah nang i kal mek,Questions
i am going home,आं नोखोर थां दङ,Ka in ka kal mek,Common Phrases
i am studying,आं होनना दङ,Ka zir mek,Common Phrases
she is reading,बि फराय दङ,Ani chhiar mek,Common Phrases
he is sleeping,बि खोन दङ,Ama muhil mek,Common Phrases
we are playing,बे खेलाय दङ,Kan inkhel mek,Common Phrases
they are eating,बिफां खाबाय दङ,Anni ei mek,Common Phrases
do you have a book,नं बुक आरो,Lehkhabu i nei em,Questions
i have a pen,आं कलम आरो,Dap ka nei,Common Phrases
i don't have homework,आं होमवर्क नाङा,Homework ka nei lo,Common Phrases
this is correct,बे गोजौ आरो,Hei hi a dik,Common Phrases
that is wrong,बा मोनो आरो,Chu chu a dik lo,Common Phrases
i like this,आं बे मोजां,Hei hi ka duh,Common Phrases
i don't like that,आं बा मोजां नाङा,Chu chu ka duh lo,Common Phrases
it is easy,बे सालां आरो,A awlsam,Common Phrases
it is difficult,बे नाङथाइ आरो,A harsa,Common Phrases
i am ready,आं तैयार आरो,Ka inpeih tawh,Common Phrases
are you ready,नं तैयार आरो,I inpeih tawh em,Questions
let us start,जिउनां जागाय,Kan tan dawn nia,Common Phrases
let us go,जिउनां थां,Kan kal dawn nia,Common Phrases
tarun,तारुन,Tarun,Names
as,जें,ang,Common Words - Prepositions
into,आव गोजौथिनो,chung ah,Common Words - Prepositions
between,दो आव गुबुनथाव,inkarah,Common Words - Prepositions
among,गुबुनसोनो,khaw chunga,Common Words - Prepositions
if,बा,chu chu,Common Words - Conjunctions
so,थांखो,chuvang,Common Words - Conjunctions
be,होयो,ni,Common Words - Verbs
say,फार,sawi,Common Words - Verbs
get,लाबो,lo,Common Words - Verbs
make,सिर्गुन,siam,Common Words - Verbs
know,मोजान,hre,Common Words - Verbs
think,मोनो होयो,ngaihtuah,Common Words - Verbs
use,बाहाय,hman,Common Words - Verbs
find,मुंनो,hmuh,Common Words - Verbs
tell,फार,sawi,Common Words - Verbs
work,गोब थ,thawk,Common Words - Verbs
ask,जेबो,zawt,Common Words - Verbs
need,गोनांथि,mamawh,Common Words - Verbs
feel,मोनो दङ,lung,Common Words - Verbs
try,नायदोनाय,bei,Common Words - Verbs
leave,होयो,kal,Common Words - Verbs
put,राखा,siam,Common Words - Verbs
mean,मानथाय दङ,awmzia,Common Words - Verbs
keep,राखा,dah,Common Words - Verbs
let,हायो,thei,Common Words - Verbs
begin,होनना,tan,Common Words - Verbs
seem,नायदोन दङ,ngaithla,Common Words - Verbs
talk,फोथाय,sawi,Common Words - Verbs
new,गोनां आव,tun,Common Words - Adjectives
first,गिबि,hmasa,Common Words - Adjectives
last,बो सोमोन्दो,tak,Common Words - Adjectives
great,गोजौ लाफा,tha hle,Common Words - Adjectives
little,गिदिर,te,Common Words - Adjectives
own,नायनि,i,Common Words - Adjectives
other,बा गुबुन,dang,Common Words - Adjectives
old,बो सोर,ni tang,Common Words - Adjectives
different,बे दिनाय,se cia,Common Words - Adjectives
large,गेदेम,lian,Common Words - Adjectives
next,बो होयो,hnua,Common Words - Adjectives
early,गिबि बेला,zing tlâm,Common Words - Adjectives
young,गो गोसा,nuai,Common Words - Adjectives
important,गोनां लै,pawimawh,Common Words - Adjectives
few,थाइ,hlem,Common Words - Adjectives
public,गुबुन सोनो,chhiah,Common Words - Adjectives
same,बे दिनाय नां,dik leiah,Common Words - Adjectives
